Date,Price,Open,High,Low,Vol.,Change %
12-11-2023,90.794,89.013,90.883,88.793,,2.04%
05-11-2023,88.982,89.2115,89.522,88.7485,,-0.25%
29-10-2023,89.201,87.9855,89.373,87.5655,,1.41%
22-10-2023,87.961,88.0995,88.78,87.5915,,-0.14%
15-10-2023,88.081,87.5045,88.2355,87.5045,,0.67%
08-10-2023,87.493,87.805,88.5125,87.371,,-0.56%
01-10-2023,87.989,87.751,88.1395,86.9105,,0.26%
24-09-2023,87.763,88.41,88.5575,87.248,,-0.70%
17-09-2023,88.38,88.5945,89.1925,87.9755,,-0.18%
10-09-2023,88.536,88.972,89.3005,88.2775,,-0.30%
03-09-2023,88.806,89.1265,89.419,88.725,,-0.31%
27-08-2023,89.081,89.286,90.431,89.073,,-0.19%
20-08-2023,89.248,90.4695,90.808,89.0025,,-1.22%
13-08-2023,90.348,90.7975,91.247,90.112,,-0.38%
06-08-2023,90.693,91.114,91.481,90.602,,-0.36%
30-07-2023,91.017,90.6675,91.3165,90.154,,0.49%
23-07-2023,90.571,91.2305,91.368,90.066,,-0.66%
16-07-2023,91.17,92.2135,92.4915,91.1135,,-1.03%
09-07-2023,92.116,90.637,92.4015,90.402,,1.68%
02-07-2023,90.598,89.571,90.6755,89.033,,1.16%
25-06-2023,89.561,89.335,89.9895,88.8915,,0.33%
18-06-2023,89.268,89.6315,90.2735,88.9555,,-0.35%
11-06-2023,89.585,88.6365,89.8645,88.484,,1.11%
04-06-2023,88.598,88.2775,89.016,88.054,,0.43%
28-05-2023,88.215,88.57,88.848,87.9315,,-0.38%
21-05-2023,88.548,89.6535,89.7905,88.3965,,-1.09%
14-05-2023,89.525,89.237,89.782,89.008,,0.43%
07-05-2023,89.141,90.1725,90.412,89.167,,-0.97%
30-04-2023,90.017,90.21,90.682,89.5415,,-0.04%
23-04-2023,90.055,90.187,90.716,89.657,,-0.08%
16-04-2023,90.126,89.948,90.234,89.4645,,0.15%
09-04-2023,89.994,89.2625,90.504,88.8455,,0.89%
02-04-2023,89.203,89.1465,90.115,88.7435,,0.17%
26-03-2023,89.053,88.6505,89.7,88.5175,,0.53%
19-03-2023,88.583,88.293,90.2165,87.835,,0.64%
12-03-2023,88.016,87.264,88.6405,87.125,,0.90%
05-03-2023,87.23,86.768,87.629,86.2225,,0.45%
26-02-2023,86.842,87.416,88.1515,86.6145,,-0.66%
19-02-2023,87.423,88.4595,88.561,87.3005,,-1.21%
12-02-2023,88.493,88.123,89.462,87.8925,,0.45%
05-02-2023,88.096,88.73,89.2345,87.9825,,-0.71%
29-01-2023,88.725,88.6435,90.471,88.361,,0.17%
22-01-2023,88.577,87.9485,89.1675,87.9405,,0.77%
15-01-2023,87.898,88.064,88.714,87.6445,,-0.13%
08-01-2023,88.01,87.516,88.413,87.434,,0.50%
01-01-2023,87.568,88.553,88.603,86.711,,-1.08%
25-12-2022,88.524,87.8485,88.6525,87.772,,0.75%
18-12-2022,87.863,87.623,88.209,87.4295,,0.39%
11-12-2022,87.519,86.772,88.861,86.5935,,0.85%
04-12-2022,86.778,85.644,87.1195,85.644,,1.15%
27-11-2022,85.79,84.834,85.8595,83.7705,,1.03%
20-11-2022,84.912,84.241,85.3725,83.53,,0.77%
13-11-2022,84.261,83.455,84.9245,83.0165,,1.14%
06-11-2022,83.31,81.248,83.4425,81.154,,2.05%
30-10-2022,81.634,81.8325,82.545,80.3375,,-0.39%
23-10-2022,81.957,81.444,82.99,81.089,,0.72%
16-10-2022,81.374,80.11,81.549,80.028,,1.68%
09-10-2022,80.026,80.6495,80.7945,79.149,,-0.80%
02-10-2022,80.675,79.8915,81.447,79.761,,1.01%
25-09-2022,79.871,78.6955,80.392,77.737,,1.45%
18-09-2022,78.731,79.7945,80.1235,78.4055,,-1.35%
11-09-2022,79.806,80.292,81.141,79.183,,-0.18%
04-09-2022,79.946,79.323,80.4575,78.754,,0.78%
28-08-2022,79.326,79.839,80.1395,78.982,,-0.41%
21-08-2022,79.649,80.253,80.4825,79.078,,-0.68%
14-08-2022,80.192,81.724,81.776,80.163,,-1.84%
07-08-2022,81.696,80.782,82.404,80.623,,1.11%
31-07-2022,80.796,81.081,81.372,79.8125,,-0.33%
24-07-2022,81.066,81.5375,81.841,80.516,,-0.54%
17-07-2022,81.506,80.463,82.1525,80.407,,1.31%
10-07-2022,80.454,80.6655,80.7525,79.51,,-0.32%
03-07-2022,80.71,82.304,82.6155,79.8655,,-1.94%
26-06-2022,82.306,82.598,83.591,81.8465,,-0.31%
19-06-2022,82.564,81.631,82.9815,81.631,,0.91%
12-06-2022,81.816,82.1565,82.6145,80.9025,,-0.39%
05-06-2022,82.139,83.2185,83.7365,82.0325,,-1.24%
29-05-2022,83.171,83.341,83.661,82.4365,,-0.08%
22-05-2022,83.237,82.3185,83.562,82.175,,1.25%
15-05-2022,82.21,80.618,82.2875,80.51,,1.93%
08-05-2022,80.654,81.204,81.9375,80.0995,,-0.67%
01-05-2022,81.197,80.7445,81.6175,80.1765,,0.67%
24-04-2022,80.66,82.9105,82.918,80.2625,,-2.27%
17-04-2022,82.531,82.4765,83.275,82.0965,,0.09%
10-04-2022,82.456,83.062,83.1875,81.999,,-0.16%
03-04-2022,82.59,83.891,84.0165,82.1455,,-1.65%
27-03-2022,83.973,83.8295,84.817,83.3085,,0.25%
20-03-2022,83.763,84.1275,84.2935,83.6395,,-0.32%
13-03-2022,84.028,83.7255,84.624,83.428,,0.71%
